0	0	-8.7264	1.1484
0	0	-8.7257	1.2007
0	0	-8.7249	1.2529
1	0	-8.7241	1.3051
1	0	-8.7232	1.3574
1	0	-8.7222	1.4097
2	0	-8.7213	1.4619
2	0	-8.7203	1.5142
3	0	-8.7194	1.5664
3	0	-8.7185	1.6187
3	0	-8.7176	1.6709
4	0	-8.7168	1.7231
4	0	-8.7161	1.7752
5	0	-8.7154	1.8273
5	0	-8.7149	1.8794
6	0	-8.7144	1.9315
6	0	-8.7141	1.9835
6	0	-8.7140	2.0355
7	0	-8.7139	2.0874
7	0	-8.7140	2.1393
8	0	-8.7143	2.1911
8	0	-8.7147	2.2429
8	0	-8.7152	2.2946
9	0	-8.7160	2.3463
9	0	-8.7169	2.3979
10	0	-8.7179	2.4494
10	0	-8.7192	2.5009
10	0	-8.7206	2.5523
11	0	-8.7222	2.6037
11	0	-8.7240	2.6550
12	0	-8.7259	2.7063
12	0	-8.7280	2.7575
12	0	-8.7303	2.8086
13	0	-8.7326	2.8597
13	0	-8.7350	2.9108
14	0	-8.7375	2.9619
14	0	-8.7401	3.0130
14	0	-8.7426	3.0641
15	0	-8.7452	3.1152
15	0	-8.7477	3.1663
16	0	-8.7503	3.2174
16	0	-8.7528	3.2685
16	0	-8.7552	3.3197
17	0	-8.7576	3.3709
17	0	-8.7600	3.4221
18	0	-8.7622	3.4734
18	0	-8.7644	3.5247
18	0	-8.7665	3.5761
19	0	-8.7685	3.6275
19	0	-8.7704	3.6789
20	0	-8.7722	3.7304
20	0	-8.7739	3.7820
20	0	-8.7754	3.8336
21	0	-8.7769	3.8853
21	0	-8.7782	3.9370
22	0	-8.7794	3.9888
22	0	-8.7805	4.0407
22	0	-8.7815	4.0926
23	0	-8.7823	4.1446
23	0	-8.7831	4.1966
24	0	-8.7838	4.2487
24	0	-8.7844	4.3008
24	0	-8.7850	4.3530
25	0	-8.7855	4.4052
25	0	-8.7860	4.4575
26	0	-8.7865	4.5099
26	0	-8.7870	4.5622
26	0	-8.7876	4.6145
27	0	-8.7881	4.6669
27	0	-8.7887	4.7192
28	0	-8.7893	4.7715
28	0	-8.7899	4.8238
28	0	-8.7906	4.8762
29	0	-8.7913	4.9285
29	0	-8.7921	4.9808
30	0	-8.7930	5.0331
30	0	-8.7939	5.0854
30	0	-8.7948	5.1377
31	0	-8.7958	5.1900
31	0	-8.7968	5.2422
32	0	-8.7979	5.2945
32	0	-8.7990	5.3467
32	0	-8.8002	5.3988
33	0	-8.8014	5.4510
33	0	-8.8027	5.5031
34	0	-8.8040	5.5552
34	0	-8.8055	5.6074
34	0	-8.8070	5.6594
35	0	-8.8085	5.7115
35	0	-8.8102	5.7636
36	0	-8.8119	5.8156
36	0	-8.8138	5.8677
36	0	-8.8157	5.9198
37	0	-8.8177	5.9718
37	0	-8.8197	6.0238
38	0	-8.8229	6.0677
38	0	-8.8271	6.1041
38	0	-8.8322	6.1336
39	0	-8.8381	6.1567
39	0	-8.8447	6.1740
40	0	-8.8520	6.1859
40	0	-8.8599	6.1928
40	0	-8.8683	6.1951
41	0	-8.8772	6.1932
41	0	-8.8865	6.1874
42	0	-8.8961	6.1781
42	0	-8.9062	6.1655
42	0	-8.9165	6.1498
43	0	-8.9271	6.1313
43	0	-8.9380	6.1103
44	0	-8.9491	6.0868
44	0	-8.9604	6.0611
44	0	-8.9719	6.0334
45	0	-8.9835	6.0039
45	0	-8.9953	5.9725
46	0	-9.0072	5.9396
46	0	-9.0192	5.9052
46	0	-9.0313	5.8694
47	0	-9.0435	5.8323
47	0	-9.0558	5.7940
48	0	-9.0681	5.7546
48	0	-9.0805	5.7143
48	0	-9.0930	5.6730
